iter	Logloss
206	0.1872753883
207	0.186559976
208	0.1861110943
209	0.185637716
210	0.1846929522
211	0.1838192157
212	0.1829823594
213	0.1821330056
214	0.1814601101
215	0.1807882394
216	0.1801854034
217	0.1796213406
218	0.1792043287
219	0.1782644186
220	0.1775307584
221	0.176844483
222	0.1765613414
223	0.1761567272
224	0.1755770071
225	0.1750546925
226	0.1744925371
227	0.1738964764
228	0.1733155606
229	0.1728844998
230	0.1721752224
231	0.1714851322
232	0.1714521949
233	0.1710011496
234	0.1705678968
235	0.1698808528
236	0.1690965624
237	0.1685085581
238	0.1678491279
239	0.1673406202
240	0.1666205677
241	0.1660135468
242	0.1655337206
243	0.1650226365
244	0.1646287263
245	0.1639937216
246	0.1634591515
247	0.1630157926
248	0.1625236967
249	0.162097817
250	0.1611051132
251	0.160345533
252	0.1600953002
253	0.1596828575
254	0.1593623375
255	0.1588896851
256	0.1581663445
257	0.1576248567
258	0.1572277582
259	0.1570220634
260	0.1567050592
261	0.1563072916
262	0.1556775961
263	0.1551463853
264	0.154536475
265	0.1539981614
266	0.1535057808
267	0.153086947
268	0.1526106934
269	0.1521625803
270	0.1516796795
271	0.1510252881
272	0.1505434833
273	0.1501384849
274	0.1497730853
275	0.1493378824
276	0.1489713868
277	0.1485061646
278	0.1481128949
279	0.1478557444
280	0.1474171824
281	0.1470078141
282	0.1467040048
283	0.1460322195
284	0.1456341815
285	0.1451332035
286	0.1446030033
287	0.1443783917
288	0.144154022
289	0.143771499
290	0.1432728269
291	0.1429774156
292	0.1426160015
293	0.142432711
294	0.1418394117
295	0.1414049775
296	0.1410237782
297	0.1407148589
298	0.1402615362
299	0.1400417072
300	0.1397768277
301	0.1396471137
302	0.1392336319
303	0.1390543553
304	0.1385866421
305	0.1384002059
306	0.1381133635
307	0.1377491168
308	0.1371438895
309	0.1367356315
310	0.1365237592
311	0.1360791761
312	0.1357156554
313	0.1350460907
314	0.1344770175
315	0.1340283493
316	0.1337389305
317	0.1332825333
318	0.132927738
319	0.1324930903
320	0.1321012013
321	0.1316714643
322	0.1313395714
323	0.1312424816
324	0.1310182258
325	0.1304937761
326	0.1301334438
327	0.1298939719
328	0.1295037625
329	0.1292838481
330	0.128810299
331	0.1283852164
332	0.127902643
333	0.1277232668
334	0.1274053659
335	0.1272109302
336	0.1269383217
337	0.1264552216
338	0.1260579664
339	0.1258339099
340	0.1253690862
341	0.1251186826
342	0.124918838
343	0.124620523
344	0.1241664032
345	0.1237633549
346	0.1233728039
347	0.1232723834
348	0.1229948072
349	0.1225243753
350	0.1221514745
351	0.1217344341
352	0.1215158149
353	0.1213702444
354	0.1210559019
355	0.1207591384
356	0.1202101921
357	0.1199820504
358	0.1196321801
359	0.1193651655
360	0.1190614843
361	0.1188514126
362	0.1186598664
363	0.1182859762
364	0.1180925654
365	0.1177617045
366	0.1176307095
367	0.1171596157
368	0.1167995538
369	0.1165993961
370	0.1163313424
371	0.1160047161
372	0.1155766587
373	0.1153366459
374	0.1150616532
375	0.1147389554
376	0.1141950693
377	0.1139872608
378	0.1137927112
379	0.1133541136
380	0.1131362132
381	0.1129957028
382	0.1128393287
383	0.1125962485
384	0.1123537377
385	0.1122279523
386	0.1120687172
387	0.1117871982
388	0.1113478888
389	0.1111980837
390	0.1108724893
391	0.1107384482
392	0.1105809283
393	0.1102569068
394	0.1101042619
395	0.1098315823
396	0.109538484
397	0.109178358
398	0.1089830968
399	0.1085771091
400	0.108293391
401	0.1081314514
402	0.1079348735
403	0.1078748276
404	0.1076236839
405	0.1073222089
406	0.1068769142
407	0.1064485578
408	0.106209698
409	0.105936513
410	0.105764752
411	0.1054027899
412	0.105164535
413	0.1049088222
414	0.1044651217
415	0.1044053462
416	0.1042990115
417	0.1040686849
418	0.1039162109
419	0.1036497799
420	0.1034278585
421	0.1030504953
422	0.1027690617
423	0.102528017
424	0.1022513518
425	0.1021641262
426	0.1018979941
427	0.1016711192
428	0.1015111439
429	0.1012742199
430	0.1010037963
431	0.1008169473
432	0.1006159
433	0.1004344172
434	0.1001511616
435	0.0999328841
436	0.09952444817
437	0.0993401257
438	0.0990315053
439	0.0988943043
440	0.0987173052
441	0.09851030805
442	0.09842681885
443	0.09821735211
444	0.09815912104
445	0.09810083304
446	0.0978575251
447	0.09757461121
448	0.09740463655
449	0.09720815829
450	0.09696259427
451	0.09669427729
452	0.0965343091
453	0.09632028039
454	0.09620597469
455	0.09595157851
456	0.09587183995
457	0.09563151402
458	0.09559728138
459	0.09544695669
460	0.09519475965
461	0.09499014669
462	0.09482141751
463	0.0946625311
464	0.09444260241
465	0.09438144627
466	0.09426562466
467	0.09400712198
468	0.09384030015
469	0.09372427926
470	0.09358878634
471	0.09343638349
472	0.09320770093
473	0.09307257809
474	0.09289041206
475	0.09264769483
476	0.09255470447
477	0.09239281469
478	0.0923619128
479	0.0921163986
480	0.09201947967
481	0.09176679867
482	0.09150826753
483	0.09121358217
484	0.09109711291
485	0.09083870987
486	0.09068090524
487	0.09059664029
488	0.09044389582
489	0.09027834081
490	0.0900407051
491	0.08985025491
492	0.08969858511
493	0.0893823282
494	0.08925304128
495	0.08910895106
496	0.08885017082
497	0.08857948389
498	0.08838531864
499	0.0881647779
500	0.08787644799
501	0.08777404899
502	0.0874970066
503	0.08723035499
504	0.08702911548
505	0.08681846733
506	0.08664417979
507	0.08639211797
508	0.08607564755
509	0.08586499228
510	0.08568042784
511	0.08557328181
512	0.0853371549
513	0.08512636441
514	0.08495155733
515	0.08483110969
516	0.0846957591
517	0.08447174528
518	0.08432072312
519	0.08418858941
520	0.08395347311
521	0.0837672504
522	0.08368487856
523	0.08353878135
524	0.08334921367
525	0.0831497107
526	0.08303941186
527	0.08288492374
528	0.08275531655
529	0.08258312852
530	0.08241197956
531	0.08226571154
532	0.0820803927
533	0.08181707183
534	0.08172404588
535	0.08158077411
536	0.08141094891
537	0.08130227274
538	0.08105837409
539	0.08094877272
540	0.08070755005
541	0.08056599347
542	0.08045725324
543	0.08031497785
544	0.07997255183
545	0.07971572876
546	0.07948536659
547	0.07923560356
548	0.07917808419
549	0.07900094274
550	0.07885004869
551	0.07867848695
552	0.07852841847
553	0.07839346644
554	0.07828659798
555	0.07813480719
556	0.07791447995
557	0.07781435838
558	0.07761617205
559	0.07743798441
560	0.07732974949
561	0.07721767853
562	0.07709745151
563	0.07689246847
564	0.07667954288
565	0.07655475389
566	0.07639695637
567	0.0762514641
568	0.07609289084
569	0.07599994318
570	0.07580445418
571	0.07572102903
572	0.07553099163
573	0.07542598781
574	0.07515775624
575	0.07505616857
576	0.07490571577
577	0.07472088088
578	0.07466125488
579	0.07458503922
580	0.07429678049
581	0.07408755573
582	0.07394981384
583	0.07374266012
584	0.07351626923
585	0.07342465244
586	0.073215812
587	0.07306369383
588	0.07295944442
589	0.07283957325
590	0.07268461541
591	0.07234670155
592	0.07221704455
593	0.07203611687
594	0.07194134726
595	0.07185591513
596	0.07170077224
597	0.07159645166
598	0.07151878414
599	0.07133574984
600	0.07116186085
601	0.07107210159
602	0.07092903621
603	0.07081012583
604	0.07073319136
605	0.07057954304
606	0.07036031894
607	0.0702224703
608	0.07014687382
609	0.07004809024
610	0.06990750156
611	0.0697159269
612	0.06966716852
613	0.06949514418
614	0.06935871181
615	0.06923151728
616	0.06919255185
617	0.06908419595
618	0.06884700149
619	0.06859957994
620	0.06849740868
621	0.06842875125
622	0.06828127334
623	0.06826053449
624	0.06812269296
625	0.06802906207
626	0.06779884225
627	0.06768697767
628	0.06759816497
629	0.06745437366
630	0.06735739067
631	0.06727319689
632	0.0671251781
633	0.06699270277
634	0.06674931654
635	0.06659438005
636	0.06653315985
637	0.06647805314
638	0.06636233828
639	0.0662092522
640	0.06609713142
641	0.06590005533
642	0.06578060406
643	0.06569681595
644	0.06556549357
645	0.06549732721
646	0.06536426829
647	0.0652151179
648	0.06514583417
649	0.06503264584
650	0.06495531281
651	0.06485939738
652	0.06462038097
653	0.06448257503
654	0.06436275368
655	0.06424271882
656	0.06408866484
657	0.06397198919
658	0.06380622067
659	0.06373567724
660	0.06358218549
661	0.06345999419
662	0.06334013014
663	0.06323514056
664	0.06312987342
665	0.0629383201
666	0.06271333837
667	0.06252819745
668	0.06232136399
669	0.06220996914
670	0.06215573781
671	0.06196046943
672	0.06184358739
673	0.06173383656
674	0.06158878554
675	0.06146005374
676	0.06139325384
677	0.06118637056
678	0.06103246603
679	0.06084739628
680	0.06071495654
681	0.0605747166
682	0.06047302929
683	0.06028756811
684	0.06019451369
685	0.06008375936
686	0.05996608734
687	0.05994540542
688	0.05986743187
689	0.05972795344
690	0.05964633244
691	0.05955168738
692	0.05942444659
693	0.05926499438
694	0.05922148833
695	0.05907045905
696	0.05895493635
697	0.05886805947
698	0.05879045244
699	0.05864261513
700	0.0585021688
701	0.05837312385
702	0.05826779266
703	0.05813091904
704	0.05795482379
705	0.05781639156
706	0.05770273351
707	0.05766831583
708	0.05765158383
709	0.05753786172
710	0.05746944627
711	0.05739134105
712	0.05721244527
713	0.05709590841
714	0.05704666963
715	0.0569120521
716	0.0567301494
717	0.05663449017
718	0.056550638
719	0.05644947024
720	0.05636560383
721	0.05629328827
722	0.0562093934
723	0.05601471574
724	0.05595521073
725	0.05587649701
726	0.05575056218
727	0.05569179734
728	0.05561286656
729	0.05557701481
730	0.05549243315
731	0.05536171216
732	0.05525137417
733	0.05514644509
734	0.05509524915
735	0.05507356017
736	0.05489145108
737	0.05475943836
738	0.05467246895
739	0.05456371806
740	0.05440255777
741	0.05430153946
742	0.0542709863
743	0.05418260774
744	0.05409241434
745	0.05401876791
746	0.0538642015
747	0.05372020736
748	0.05359169263
749	0.05351270846
750	0.05348250403
751	0.0533814964
752	0.05332373149
753	0.05323671939
754	0.05312794714
755	0.05291654459
756	0.05282339409
757	0.05273116525
758	0.05264303577
759	0.05256051448
760	0.05250105929
761	0.0523821845
762	0.05232254071
763	0.05228336889
764	0.0522166971
765	0.05214148137
766	0.05204203947
767	0.05198117512
768	0.05191575947
769	0.05184495271
770	0.05174293447
771	0.0516438413
772	0.05156669688
773	0.05144653036
774	0.05137008695
775	0.05127939182
776	0.05117579005
777	0.05104453528
778	0.05099013314
779	0.05090635214
780	0.05084856944
781	0.05077921455
782	0.0507754639
783	0.05068892863
784	0.05053651867
785	0.05045379098
786	0.05035832391
787	0.05029871926
788	0.05024986481
789	0.05013742376
790	0.05010580661
791	0.0500153143
792	0.049961663
793	0.04987495337
794	0.04980375518
795	0.04967669231
796	0.04955363629
797	0.04938250157
798	0.04932350543
799	0.04922599223
800	0.04910747329
801	0.04898095843
802	0.04891653203
803	0.04883008217
804	0.04878406382
805	0.04869263208
806	0.04858678846
807	0.04852468932
808	0.04839465156
809	0.04828368372
810	0.0482037103
811	0.04809559637
812	0.04796698556
813	0.04787598083
814	0.04783361705
815	0.04770936895
816	0.04761206214
817	0.04751937781
818	0.04742253716
819	0.04737132343
820	0.04731911688
821	0.04722277442
822	0.04710085712
823	0.0470696919
824	0.04694004201
825	0.04685457429
826	0.04680309011
827	0.04676179744
828	0.04671573639
829	0.04667409854
830	0.04657355351
831	0.04644494982
832	0.04634975319
833	0.04631174856
834	0.04625468112
835	0.04613294174
836	0.0460159316
837	0.04588151334
838	0.04579125234
839	0.04574753989
840	0.04572323187
841	0.04558496333
842	0.04550488671
843	0.04542680641
844	0.04534056649
845	0.04525076098
846	0.04518192562
847	0.04507772958
848	0.04502002517
849	0.04493795224
850	0.04486445882
851	0.04478823605
852	0.04468828173
853	0.04462966634
854	0.04454545832
855	0.04446206876
856	0.04440936046
857	0.04433797722
858	0.04422864985
859	0.04418035052
860	0.044153822
861	0.04412541816
862	0.04404520277
863	0.04398994303
864	0.04392880824
865	0.0438312986
866	0.04378228757
867	0.04369832509
868	0.04367274669
869	0.04360692893
870	0.04358219389
871	0.04347966322
872	0.04340819103
873	0.04336130797
874	0.04332025371
875	0.04324591694
876	0.04316290101
877	0.04308577438
878	0.04303152881
879	0.04298417248
880	0.04284900694
881	0.04279237007
882	0.04272441366
883	0.0426682643
884	0.04262223884
885	0.04251643793
886	0.04239822502
887	0.04232803387
888	0.04223769458
889	0.04216589145
890	0.04207307189
891	0.04194839677
892	0.0418435175
893	0.04177608775
894	0.04172249339
895	0.04159992133
896	0.04155270021
897	0.04148399296
898	0.04138896003
899	0.04132966497
900	0.04125867673
901	0.04122193892
902	0.0411432252
903	0.04103790824
904	0.04093392216
905	0.04086983738
906	0.04081983353
907	0.0407693564
908	0.04072166557
909	0.04062726604
910	0.04056679313
911	0.04049346696
912	0.04047790214
913	0.04042216201
914	0.04036380284
915	0.04033153804
916	0.04022940593
917	0.04018764354
918	0.04012775421
919	0.04006632762
920	0.04002485702
921	0.03989564839
922	0.03981103826
923	0.03979367285
924	0.03975224851
925	0.03972427169
926	0.03965687752
927	0.03962215025
928	0.03955673104
929	0.0395415968
930	0.03949338998
931	0.03946263399
932	0.03938008422
933	0.03930746619
934	0.03922731485
935	0.03917270632
936	0.03906524003
937	0.03901737839
938	0.03895271358
939	0.03892590751
940	0.03886484388
941	0.03881270494
942	0.03875124632
943	0.03873216572
944	0.03865400001
945	0.03860134153
946	0.03853294387
947	0.03847015438
948	0.03843318526
949	0.03840053971
950	0.03835889475
951	0.03832036346
952	0.03829183151
953	0.03822188235
954	0.0381583954
955	0.03811079353
956	0.03804995409
957	0.03801518056
958	0.03797226877
959	0.03794277604
960	0.03788712843
961	0.03783102178
962	0.03777145984
963	0.03770645341
964	0.03764350379
965	0.03761898226
966	0.03756179027
967	0.03753997675
968	0.03748920071
969	0.03740888567
970	0.03737372427
971	0.03730996687
972	0.0372579418
973	0.03714584237
974	0.03709386356
975	0.03705669161
976	0.03699977718
977	0.03692301707
978	0.03686919141
979	0.03683688036
980	0.03680186485
981	0.03676142621
982	0.03670009214
983	0.03664920935
984	0.03660984893
985	0.03652586154
986	0.03647024952
987	0.03642261562
988	0.03636986462
989	0.0363268354
990	0.0362751733
991	0.03621702052
992	0.03617319064
993	0.03612920775
994	0.03609215324
995	0.0359903485
996	0.03593303908
997	0.03588055853
998	0.03582486822
999	0.03573522639
