iter	Passed	Remaining
317	804	1724
318	806	1722
319	809	1719
320	811	1716
321	813	1712
322	815	1709
323	817	1705
324	819	1702
325	821	1699
326	824	1696
327	826	1693
328	829	1691
329	831	1688
330	833	1685
331	836	1682
332	838	1679
333	840	1676
334	843	1673
335	845	1671
336	847	1667
337	850	1665
338	852	1661
339	854	1658
340	856	1654
341	858	1651
342	860	1648
343	862	1645
344	864	1641
345	866	1638
346	868	1635
347	870	1631
348	873	1628
349	875	1626
350	877	1623
351	879	1619
352	881	1616
353	883	1613
354	886	1610
355	888	1607
356	890	1604
357	892	1601
358	895	1599
359	898	1596
360	900	1594
361	902	1591
362	905	1588
363	907	1585
364	910	1583
365	912	1580
366	914	1577
367	917	1574
368	919	1572
369	921	1569
370	924	1567
371	926	1564
372	928	1561
373	931	1558
374	933	1556
375	936	1553
376	938	1551
377	941	1549
378	944	1547
379	947	1545
380	949	1542
381	951	1540
382	954	1537
383	956	1534
384	959	1532
385	962	1531
386	965	1528
387	968	1527
388	971	1525
389	973	1522
390	975	1519
391	978	1517
392	980	1514
393	982	1511
394	985	1508
395	987	1506
396	989	1503
397	992	1501
398	994	1498
399	996	1495
400	999	1493
401	1002	1491
402	1005	1489
403	1007	1487
404	1010	1484
405	1013	1483
406	1017	1481
407	1019	1479
408	1022	1477
409	1024	1474
410	1027	1472
411	1030	1470
412	1033	1468
413	1035	1466
414	1038	1463
415	1041	1461
416	1043	1459
417	1046	1457
418	1049	1455
419	1052	1452
420	1054	1450
421	1057	1448
422	1060	1446
423	1063	1444
424	1067	1444
425	1071	1444
426	1075	1443
427	1078	1441
428	1081	1439
429	1083	1436
430	1086	1434
431	1088	1431
432	1091	1429
433	1094	1427
434	1096	1424
435	1099	1421
436	1101	1418
437	1103	1415
438	1105	1412
439	1108	1411
440	1111	1408
441	1113	1405
442	1115	1402
443	1118	1400
444	1119	1396
445	1121	1392
446	1123	1390
447	1126	1387
448	1128	1384
449	1130	1381
450	1132	1379
451	1135	1376
452	1137	1373
453	1140	1371
454	1142	1369
455	1145	1366
456	1148	1364
457	1150	1361
458	1153	1358
459	1155	1356
460	1157	1353
461	1160	1351
462	1163	1349
463	1166	1347
464	1169	1346
465	1173	1344
466	1175	1341
467	1177	1338
468	1180	1336
469	1182	1333
470	1184	1330
471	1187	1328
472	1189	1325
473	1192	1323
474	1194	1320
475	1197	1317
476	1199	1315
477	1202	1312
478	1204	1310
479	1207	1308
480	1210	1305
481	1212	1303
482	1214	1300
483	1217	1297
484	1220	1295
485	1223	1293
486	1225	1290
487	1227	1287
488	1229	1285
489	1232	1282
490	1234	1280
491	1237	1277
492	1241	1276
493	1243	1273
494	1246	1271
495	1249	1269
496	1252	1267
497	1254	1264
498	1257	1262
499	1260	1260
500	1262	1257
501	1265	1255
502	1268	1253
503	1270	1250
504	1273	1247
505	1275	1245
506	1278	1243
507	1280	1240
508	1283	1237
509	1285	1235
510	1288	1232
511	1290	1229
512	1292	1227
513	1295	1224
514	1297	1222
515	1300	1219
516	1303	1217
517	1306	1215
518	1308	1212
519	1311	1210
520	1313	1207
521	1316	1205
522	1319	1203
523	1321	1200
524	1323	1197
525	1326	1195
526	1329	1193
527	1333	1192
528	1337	1190
529	1340	1188
530	1343	1186
531	1345	1183
532	1348	1181
533	1350	1178
534	1353	1176
535	1355	1173
536	1358	1171
537	1361	1168
538	1363	1166
539	1366	1163
540	1368	1161
541	1372	1159
542	1374	1156
543	1377	1154
544	1380	1152
545	1382	1149
546	1385	1147
547	1387	1144
548	1390	1142
549	1392	1139
550	1395	1137
551	1398	1134
552	1401	1132
553	1404	1130
554	1406	1128
555	1409	1125
556	1412	1123
557	1414	1120
558	1417	1118
559	1419	1115
560	1421	1112
561	1424	1110
562	1428	1108
563	1431	1106
564	1433	1103
565	1435	1100
566	1438	1098
567	1441	1096
568	1444	1094
569	1447	1092
570	1450	1089
571	1452	1086
572	1454	1083
573	1456	1081
574	1459	1078
575	1462	1076
576	1465	1074
577	1468	1072
578	1471	1069
579	1473	1067
580	1475	1064
581	1478	1061
582	1480	1059
583	1483	1056
584	1485	1054
585	1489	1052
586	1491	1049
587	1494	1047
588	1496	1044
589	1499	1041
590	1501	1039
591	1506	1037
592	1508	1035
593	1511	1033
594	1514	1030
595	1516	1027
596	1520	1026
597	1523	1024
598	1526	1022
599	1529	1019
600	1531	1016
601	1534	1014
602	1536	1011
603	1539	1009
604	1541	1006
605	1544	1004
606	1546	1001
607	1549	999
608	1552	996
609	1554	994
610	1557	991
611	1562	990
612	1567	989
613	1569	986
614	1572	984
615	1575	981
616	1578	979
617	1580	977
618	1583	974
619	1586	972
620	1588	969
621	1591	966
622	1593	964
623	1595	961
624	1597	958
625	1600	956
626	1602	953
627	1605	950
628	1607	948
629	1610	945
630	1612	943
631	1615	940
632	1618	938
633	1621	935
634	1623	933
635	1625	930
636	1628	927
637	1631	925
638	1634	923
639	1637	920
640	1639	918
641	1642	915
642	1644	913
643	1647	910
644	1651	908
645	1654	906
646	1656	904
647	1659	901
648	1661	898
649	1664	896
650	1666	893
651	1669	890
652	1671	888
653	1673	885
654	1676	882
655	1678	880
656	1681	877
657	1683	875
658	1686	872
659	1689	870
660	1692	867
661	1694	865
662	1697	862
663	1699	860
664	1702	857
665	1704	854
666	1706	852
667	1709	849
668	1711	847
669	1714	844
670	1717	841
671	1719	839
672	1721	836
673	1724	834
674	1727	831
675	1729	829
676	1731	826
677	1734	823
678	1736	821
679	1739	818
680	1741	815
681	1744	813
682	1746	810
683	1749	808
684	1752	805
685	1755	803
686	1759	801
687	1762	799
688	1765	796
689	1768	794
690	1771	792
691	1773	789
692	1775	786
693	1778	784
694	1780	781
695	1782	778
696	1785	776
697	1787	773
698	1790	770
699	1792	768
700	1794	765
701	1796	762
702	1798	759
703	1800	757
704	1803	754
705	1805	751
706	1807	749
707	1810	746
708	1812	743
709	1814	741
710	1817	738
711	1819	736
712	1822	733
713	1824	730
714	1826	728
715	1828	725
716	1830	722
717	1833	719
718	1835	717
719	1837	714
720	1839	711
721	1841	709
722	1843	706
723	1846	704
724	1849	701
725	1852	699
726	1856	696
727	1858	694
728	1860	691
729	1863	689
730	1866	686
731	1868	684
732	1871	681
733	1874	679
734	1876	676
735	1879	674
736	1882	671
737	1885	669
738	1888	667
739	1891	664
740	1894	662
741	1896	659
742	1899	656
743	1902	654
744	1904	651
745	1906	649
746	1909	646
747	1911	643
748	1913	641
749	1915	638
750	1918	636
751	1921	633
752	1923	630
753	1926	628
754	1928	625
755	1930	623
756	1933	620
757	1935	618
758	1938	615
759	1940	612
760	1942	610
761	1945	607
762	1947	604
763	1949	602
764	1951	599
765	1953	596
766	1956	594
767	1958	591
768	1961	589
769	1964	586
770	1966	584
771	1969	581
772	1971	579
773	1974	576
774	1976	573
775	1979	571
776	1981	568
777	1983	566
778	1986	563
779	1990	561
780	1992	558
781	1995	556
782	1996	553
783	1998	550
784	2001	548
785	2003	545
786	2006	543
787	2009	540
788	2011	538
789	2014	535
790	2016	532
791	2019	530
792	2021	527
793	2024	525
794	2026	522
795	2028	519
796	2031	517
797	2033	514
798	2036	512
799	2038	509
800	2041	507
801	2044	504
802	2047	502
803	2051	500
804	2053	497
805	2055	494
806	2058	492
807	2061	489
808	2063	487
809	2065	484
810	2067	481
811	2070	479
812	2072	476
813	2074	474
814	2076	471
815	2079	468
816	2081	466
817	2084	463
818	2087	461
819	2089	458
820	2091	456
821	2093	453
822	2096	450
823	2098	448
824	2101	445
825	2103	443
826	2106	440
827	2108	437
828	2110	435
829	2112	432
830	2115	430
831	2118	427
832	2121	425
833	2124	422
834	2126	420
835	2128	417
836	2131	415
837	2134	412
838	2136	409
839	2138	407
840	2141	404
841	2143	402
842	2146	399
843	2149	397
844	2151	394
845	2153	392
846	2156	389
847	2158	386
848	2160	384
849	2162	381
850	2165	379
851	2167	376
852	2171	374
853	2173	371
854	2175	368
855	2177	366
856	2180	363
857	2182	361
858	2184	358
859	2186	355
860	2189	353
861	2191	350
862	2194	348
863	2198	345
864	2201	343
865	2204	341
866	2207	338
867	2210	336
868	2212	333
869	2215	331
870	2217	328
871	2220	325
872	2222	323
873	2225	320
874	2227	318
875	2230	315
876	2232	313
877	2235	310
878	2238	308
879	2240	305
880	2243	303
881	2246	300
882	2248	297
883	2250	295
884	2253	292
885	2256	290
886	2258	287
887	2261	285
888	2263	282
889	2267	280
890	2269	277
891	2272	275
892	2274	272
893	2277	269
894	2279	267
895	2281	264
896	2284	262
897	2286	259
898	2290	257
899	2292	254
900	2294	252
901	2297	249
902	2299	246
903	2301	244
904	2304	241
905	2307	239
906	2309	236
907	2311	234
908	2314	231
909	2316	229
910	2318	226
911	2320	223
912	2323	221
913	2325	218
914	2327	216
915	2329	213
916	2331	211
917	2333	208
918	2336	205
919	2338	203
920	2340	200
921	2343	198
922	2345	195
923	2347	193
924	2350	190
925	2353	188
926	2355	185
927	2358	183
928	2361	180
929	2363	177
930	2365	175
931	2368	172
932	2370	170
933	2373	167
934	2376	165
935	2379	162
936	2382	160
937	2385	157
938	2387	155
939	2389	152
940	2392	149
941	2394	147
942	2396	144
943	2399	142
944	2402	139
945	2404	137
946	2406	134
947	2409	132
948	2411	129
949	2414	127
950	2416	124
951	2419	121
952	2421	119
953	2423	116
954	2426	114
955	2428	111
956	2431	109
957	2433	106
958	2436	104
959	2438	101
960	2440	99
961	2442	96
962	2445	93
963	2447	91
964	2450	88
965	2452	86
966	2454	83
967	2456	81
968	2459	78
969	2462	76
970	2465	73
971	2468	71
972	2470	68
973	2473	66
974	2475	63
975	2478	60
976	2480	58
977	2483	55
978	2486	53
979	2488	50
980	2491	48
981	2494	45
982	2497	43
983	2500	40
984	2502	38
985	2505	35
986	2508	33
987	2511	30
988	2513	27
989	2515	25
990	2518	22
991	2520	20
992	2523	17
993	2526	15
994	2530	12
995	2533	10
996	2536	7
997	2538	5
998	2541	2
999	2543	0
